"State","prop_2000","prop_2019","pop_2000","pop_2019","observed_2000","observed_2019","expected_2019","diff"
"Alabama",0.015832723869985,0.0149550861883948,4331963,4786560,3.23057514572493,3.14476388053216,3.07179655729352,0.0729673232386349
"Alaska",0.0022181206962752,0.00219515980055236,606896,702588,3.65929747436134,3.61751837492243,3.48277059966858,0.134747775253845
"Arizona",0.0183591650096592,0.0222357426434927,5023218,7116824,3.60486226160202,3.49086263760352,3.44414571569046,0.0467169219130542
"Arkansas",0.0094953003874756,0.00916631718267592,2597992,2933793,3.24050997847568,3.24129037052035,3.15496133638429,0.0863290341360552
"California",0.120817400955406,0.120814285846581,33056631,38668104,3.99684904369111,3.75107292563401,3.80606853711999,-0.0549956114859865
"Colorado",0.0153403775058711,0.0176178861251121,4197253,5638822,3.36475594871217,3.27331825689834,3.16960073711954,0.103717519778795
"Connecticut",0.0120601321901195,0.0107909350211978,3299751,3453772,3.31804824060967,3.14143174477065,3.17597138452783,-0.0345396397571805
"Delaware",0.00277250102103119,0.0029557897263192,758579,946037,3.30668921760291,3.18586905163329,3.14098465575556,0.0448843958777222
"District of Columbia",0.00195925052610358,0.00208362840605044,536067,666891,3.17880414201956,2.90576121135238,2.8637298928937,0.0420313184586828
"Florida",0.057001395736703,0.0657494832850504,15596049,21043934,3.25938774621701,3.22065874184931,3.17712592528482,0.0435328165644951
"Georgia",0.0290620863896273,0.0323392709722919,7951625,10350583,3.4575169226416,3.36469462637998,3.34938079142091,0.0153138349590747
"Hawaii",0.00429834347615209,0.00428359664473873,1176062,1371018,4.04004720839548,3.9479233678916,3.86825168452936,0.0796716833622388
"Idaho",0.00461411618171744,0.00548872434067127,1262460,1756734,3.5328850022971,3.52825470446863,3.3668581034054,0.161396601063233
"Illinois",0.0442004999155818,0.0386545967600038,12093619,12371881,3.57962699172183,3.30339477077091,3.377680191563,-0.0742854207920887
"Indiana",0.0215735972381968,0.0204378523149496,5902713,6541387,3.30664865461018,3.26749403452204,3.16509107250458,0.102402962017455
"Iowa",0.0103029077765745,0.00955452592005605,2818960,3058044,3.22048024803474,3.16584849662072,3.1128951928302,0.052953303790518
"Kansas",0.00952020826715369,0.00884551406215391,2604807,2831116,3.31407931566523,3.27129407625827,3.18869761034028,0.0825964659179869
"Kentucky",0.0143485029752124,0.0135407305079197,3925868,4333878,3.18414297169441,3.23942459847739,3.05667882265342,0.182745775823968
"Louisiana",0.015838103825801,0.0141220516197675,4333435,4519937,3.43985937253011,3.21135405205869,3.26041059973674,-0.0490565476780535
"Maine",0.00453147976799452,0.00407708375619365,1239850,1304921,3.0745275638182,2.95522104403255,2.83944381640099,0.115777227631561
"Maryland",0.0188779177465792,0.0184472307876714,5165153,5904264,3.42870966261793,3.4321449718373,3.35888099704129,0.0732639747960112
"Massachusetts",0.0224081409549886,0.0207574681667961,6131051,6643684,3.3042669193259,3.21196613204361,3.17320959612046,0.038756535923142
"Michigan",0.0353954383566618,0.030499951215755,9684482,9761886,3.39024317459623,3.22723733917811,3.16373507984618,0.0635022593319225
"Minnesota",0.0174555882728586,0.0172105561132733,4775992,5508451,3.35436449642294,3.26571734957795,3.21195954447853,0.0537578050994172
"Mississippi",0.010044775888383,0.00900101189034581,2748333,2880885,3.4530189755026,3.30397777071976,3.28251834360174,0.0214594271180259
"Missouri",0.0198563021842237,0.0186305888126522,5432847,5962950,3.24828160999196,3.19958611090148,3.0809464331866,0.11863967771488
"Montana",0.0032079448497513,0.00324885137691985,877720,1039835,3.24736362393474,3.11382959796506,3.04926275980259,0.0645668381624717
"Nebraska",0.00606296898380547,0.00587405551370885,1658878,1880064,3.32813021813539,3.25896724792348,3.2415485011172,0.0174187468062698
"Nevada",0.00718772696117527,0.00949407207373233,1966621,3038695,3.53100521147694,3.4213937232924,3.45199844801864,-0.0306047247262411
"New Hampshire",0.00438286945316093,0.00411994103098937,1199189,1318638,3.23549415479962,3.10397698231054,2.99174943984147,0.112227542469064
"New Jersey",0.0300451307754141,0.0271827787753404,8220594,8700184,3.5303897747535,3.42434792183706,3.42334616074038,0.00100176109667085
"New Mexico",0.00651127426939825,0.00639911571229241,1781538,2048116,3.53379102775243,3.31690831964596,3.30880255495776,0.00810576468819874
"New York",0.0672244484489948,0.0589880662876347,18393160,18879859,3.54351003307751,3.4070664404856,3.40019510029575,0.00687134018985349
"North Carolina",0.0284811717719201,0.0318847782745129,7792682,10205117,3.21820728729852,3.17392470855552,3.10992948486459,0.0639952236909272
"North Dakota",0.00226128460808712,0.00230494778473599,618706,737727,3.16274773478841,3.07747716973894,3.04961844646488,0.0278587232740654
"Ohio",0.0403994076273922,0.0355299961743704,11053609,11371814,3.27034799222589,3.18561233942096,3.08149964673557,0.104112692685387
"Oklahoma",0.0121972187273119,0.0120192581977809,3337259,3846912,3.26069268222814,3.29852099554136,3.18029167454424,0.118229320997119
"Oregon",0.0122339427735342,0.0128841990498676,3347307,4123747,3.3434002318879,3.23914997695057,3.18386404766075,0.0552859292898281
"Pennsylvania",0.043279880560595,0.0386653852829949,11841730,12375334,3.26264658964526,3.17231405633173,3.11000349222945,0.0623105641022854
"Rhode Island",0.00368985293002646,0.00318206751392076,1009574,1018460,3.24463981837884,3.08477701627948,3.07358395419953,0.0111930620799545
"South Carolina",0.0141754050897489,0.0156661195274366,3878507,5014135,3.26823233785578,3.1619936439685,3.09450224911158,0.0674913948569203
"South Dakota",0.00265115597140649,0.00265773529849878,725378,850641,3.35497354482766,3.28093872738323,3.20557612767578,0.0753625997074505
"Tennessee",0.0202477524476195,0.0208431171041712,5539951,6671097,3.21171270287409,3.23030455111056,3.0823860464826,0.147918504627955
"Texas",0.0741387223434591,0.0887091661278446,20284962,28392464,3.66454627817395,3.57227283972254,3.5855553077752,-0.0132824680526616
"Utah",0.00800221279921824,0.00985864791568673,2189471,3155382,4.16093887518949,4.02062793031082,4.03066963110066,-0.0100417007898429
"Vermont",0.00214749050188354,0.0018692857930293,587571,598288,3.13490454770572,2.89260189072821,2.85031114871496,0.0422907420132559
"Virginia",0.0250297948860779,0.0259031468456265,6848357,8290622,3.29766278247469,3.27304416966544,3.20698889853003,0.0660552711354081
"Washington",0.0210417381686978,0.0233026378972887,5757192,7458297,3.36742304234425,3.34369012121668,3.23909659167586,0.104593529540825
"West Virginia",0.00645380888536617,0.00545166281164694,1765815,1744872,3.08289826510705,3.07120808861624,2.92661580477302,0.144592283843222
"Wisconsin",0.0190090249307043,0.0177421212944423,5201025,5678585,3.29906566494105,3.11480571304295,3.10374450394142,0.0110612091015311
"Wyoming",0.00175339411891519,0.00176377822486011,479743,564519,3.26099390715446,3.13781112770341,3.10422692986138,0.0335841978420284
